sent_text,sent_number,v-avg-ann-scores,a-avg-ann-scores,d-avg-ann-scores,v-normalized-score,a-normalized-score,d-normalized-score
"אז רשות התחרות נכנסה לעניין וזה טוב, ובאמת השוק הזה מתהווה.",1,0.5,-0.708333333,0.333333333,0.75,0.145833333,0.666666667
"אני חושבת שאנחנו נביא הישג מרשים הודות לוועדה -- הצעת החוק סוף-סוף תביא לשקיפות, לשוויון, לביטול האפליה.",2,0.958333333,-0.208333333,0.833333333,0.979166667,0.395833333,0.916666667
"מאות עסקים שסובבים את המשלחות, הקבוצות, היציאה לעולם הגדול, תערוכות בעולם – אף אחד בממשלה לא מטפל בהם.",3,0.291666667,-0.541666667,-0.208333333,0.645833333,0.229166667,0.395833334
"מה שאנחנו רואים בימים האחרונים – השוטרים והמכת""זיות זה פירוטכניקה של אכיפה, זה סתם, זאת תעמולת בחירות זולה.",4,0.25,-0.5,-0.125,0.625,0.25,0.4375
"מסתבר שזה לא התחיל עכשיו, עכשיו אי-המשילות בולטת במלוא כיעורה.",5,-0.416666667,-0.041666667,-0.708333333,0.291666667,0.479166667,0.145833334
"ואנחנו פוגשים פה דור צעיר, שמזלזל בחוקים, בהנחיות – למה אנחנו מחנכים?",6,-0.083333333,0.083333333,-0.208333333,0.458333333,0.541666667,0.395833334
כולנו צריכים להבין שהתלמידים באמת במצוקה קשה.,7,-0.666666667,-0.041666667,-0.458333333,0.166666667,0.479166667,0.270833334
"כל הילדים, יש לי אחד שסיים י""ב בשנת קורונה, וכמו שאני אומרת, אצלי בבית לצערם יש דיקטטורה חינוכית -- צריך ללמוד גם כשקשה.",8,0.291666667,-0.583333333,0.291666667,0.645833333,0.208333333,0.645833334
"דבר אחד טוב שיצא מתוך המתווה שהעליתי זה תשלום ימי הבידוד, הצלחנו להרחיב את זה לארבעה ימים במקום יום אחד מינואר והלאה.",9,0.666666667,-0.625,0.541666667,0.833333333,0.1875,0.770833334
"עם זאת חשוב לומר שלנו כוועדה אין את הסמכות לשנות את התקנות כעת, ולכן זה לא יתבצע כעת, אבל כן אתן את הדעת על זה.",10,0.458333333,-0.666666667,0.291666667,0.729166667,0.166666667,0.645833334
"כמעט תמיד מגיעות אלי למשרד נשים אחרי שהתנכלו להן במקום העבודה ולא אחרי שהן הוטרדו, איכשהו הן סופגות את ההטרדה אבל ההתנכלות כבר קשה מנשוא.",11,-0.125,-0.083333333,-0.083333333,0.4375,0.458333333,0.458333334
"היום יש דווקא יותר נשים שמתלוננות כבר בעקבות ההטרדה, אבל עדיין רוב התלונות, נשים מנסות לסבול בשקט ושזה יעבור, ורק כאשר ממש זה בלתי נסבל, באות להתלונן.",12,-0.291666667,-0.375,0.041666667,0.354166667,0.3125,0.520833334
