Hebrew Word,Valence,Arousal,Dominance
אאאאאאאא,0.479,0.606,0.291
אאוגניקה,0.448,0.53,0.518
אב בית,0.694,0.279,0.52
אב טיפוס,0.448,0.52,0.569
אב מנזר,0.427,0.321,0.483
אב קדמון,0.641,0.4,0.6105
אב-טיפוס,0.448,0.52,0.569
אבא,0.78,0.37125,0.71825
אבבא,0.562,0.5,0.48
אבדון,0.10400000000000001,0.7030000000000001,0.469
אבהות,0.7945,0.5545,0.744
אבהי,0.8205,0.358,0.7335
אבו יויו,0.438,0.49,0.343
אבו נפחא,0.344,0.42,0.389
אבוב,0.51,0.34,0.392
אבוד,0.094,0.298,0.112
אבוי,0.571,0.31,0.279
אבולוציה,0.781,0.657,0.854
אבולוציוני,0.796,0.673,0.825
אבוס,0.63,0.364,0.5555
אבוקדו,0.677,0.255,0.287
אבוריג'יני,0.448,0.427,0.542
אבות קדמוניים,0.69,0.412,0.627
אבותי,0.64,0.481,0.75
אבזם,0.432,0.374,0.301
אבחון,0.5093333333333333,0.47433333333333333,0.7346666666666666
אבחוני,0.417,0.483,0.635
אבחנות,0.54,0.44,0.75
אבי,0.562,0.5,0.48
אבי העורקים,0.448,0.51,0.542
אביון,0.26,0.347,0.151
אביזר,0.5683333333333334,0.379,0.49733333333333335
אביזרים,0.5156666666666666,0.514,0.48833333333333334
אביר,0.78,0.441,0.835
אבירות,0.8343333333333334,0.5676666666666667,0.8293333333333334
אבירי,0.908,0.539,0.679
אבל,0.177,0.49,0.266
אבן גיר,0.602,0.323,0.381
אבן דרך,0.719,0.373,0.558
אבן החכמים,0.708,0.587,0.604
אבן חומה,0.559,0.423,0.439
אבן חן,0.917,0.48,0.582
אבן לריצוף,0.448,0.385,0.368
אבן מרצפת,0.521,0.519,0.509
אבן משחזת,0.541,0.453,0.526
אבן פינה,0.55,0.388,0.596
אבן צור,0.521,0.439,0.536
אבן ראשה,0.573,0.438,0.491
אבן ריחיים,0.51,0.433,0.492
אבן שפה,0.472,0.371,0.402
אבנית,0.36,0.36,0.562
אבסורדי,0.188,0.656,0.284
אבסורדיות,0.115,0.528,0.227
אבסינת,0.481,0.51,0.462
אבעבועות,0.235,0.567,0.309
אבעבועות רוח,0.1835,0.536,0.386
אבצס,0.154,0.451,0.349
אבק,0.344,0.246,0.241
אבקה,0.5715,0.23099999999999998,0.243
אבקת,0.52,0.375,0.42
אבקת שריפה,0.425,0.853,0.509
אבקתי,0.323,0.39,0.211
אברא,0.429,0.506,0.336
אברה,0.444,0.361,0.346
אברה קדברה,0.673,0.632,0.434
אברש,0.651,0.3695,0.47650000000000003
אג'נדה,0.531,0.296,0.553
אגב,0.479,0.5,0.5
אגבי,0.47750000000000004,0.269,0.3755
אגביות,0.396,0.392,0.349
אגד,0.45,0.765,0.509
אגדה,0.75,0.453,0.5695
אגדי,0.7023333333333334,0.5436666666666667,0.6636666666666667
אגו,0.328,0.576,0.593
אגואיסטי,0.156,0.667,0.363
אגוז,0.4795,0.28,0.27049999999999996
אגוז מוסקט,0.635,0.302,0.35
אגוזי,0.444,0.317,0.271
אגוזים,0.594,0.25,0.291
אגומניאק,0.133,0.708,0.596
אגורפוביה,0.127,0.712,0.438
אגזוז,0.546,0.71,0.337
אגט,0.54,0.377,0.483
אגל,0.625,0.208,0.194
אגם,0.607,0.2665,0.39149999999999996
אגם יבש,0.724,0.51,0.575
אגן,0.465,0.4245,0.389
אגנוסטי,0.306,0.396,0.574
אגני,0.32,0.632,0.373
אגס,0.677,0.158,0.241
אגף,0.186,0.57,0.5
אגר,0.625,0.356,0.598
אגרוף,0.38,0.77,0.563
אגרופוביה,0.127,0.712,0.438
אגרופן,0.406,0.449,0.518
אגרסיבי,0.08900000000000001,0.9460000000000001,0.6793333333333335
אגרסיביות,0.077,0.913,0.648
אגרסיה,0.094,0.929,0.533
אגרת חוב,0.542,0.5095000000000001,0.548
אדג'ובנט,0.51,0.5,0.456
אדום,0.3285,0.6265000000000001,0.41100000000000003
אדון,0.6156666666666667,0.5026666666666667,0.6893333333333334
אדוני,0.573,0.557,0.736
אדונים,0.571,0.356,0.781
אדוק,0.6883333333333334,0.3203333333333333,0.49299999999999994
אדיב,0.8650000000000001,0.47733333333333333,0.5703333333333334
אדיבות,0.8435,0.2965,0.555
אדיפלי,0.312,0.575,0.509
אדיקות,0.76,0.34,0.482
אדיר,0.855,0.837,0.936
אדיש,0.3294,0.3086,0.3546
אדישות,0.23066666666666666,0.443,0.3153333333333333
אדם,0.6365000000000001,0.345,0.5645
אדם מלוכלך ופרוע,0.271,0.557,0.348
אדם שמתעניין באוכל,0.781,0.465,0.484
אדמה,0.398,0.343,0.602
אדמה חקלאית,0.729,0.363,0.509
אדמות,0.594,0.28,0.492
אדמיניסטרציה,0.625,0.404,0.786
אדמירל,0.844,0.49,0.847
אדמירליות,0.594,0.547,0.733
אדמת בור,0.4325,0.369,0.46
אדן,0.42200000000000004,0.2905,0.406
אדר,0.541,0.39,0.339
אדריכל,0.776,0.442,0.836
אדריכלות נוף,0.823,0.379,0.519
אדריכלי,0.729,0.39,0.67
אדרנלין,0.7983333333333333,0.9500000000000001,0.8119999999999999
אדרת,0.594,0.265,0.43
אה,0.38000000000000006,0.44766666666666666,0.34
אהבה,0.9209999999999999,0.5193333333333333,0.6736666666666666
אהבה אהבה אהבה,0.948,0.582,0.554
אהבה אחת,0.816,0.577,0.541
אהבה נוצרית,0.612,0.529,0.464
אהבה עיוורת,0.844,0.745,0.53
אהבההה,0.927,0.592,0.693
אההה,0.4543333333333333,0.596,0.25533333333333336
אההההההה,0.5155000000000001,0.6275,0.2895
אהוב,0.9356,0.47240000000000004,0.6148
אהוי,0.5,0.497,0.38
אהוי!,0.5,0.497,0.38
או מיי גאד או מיי גאד או מיי גאד,0.49,0.551,0.358
אובדן,0.281,0.538,0.263
אובדן זיכרון זמני,0.126,0.53,0.349
אובדן חיות מחמד,0.271,0.481,0.424
אובדן חיית מחמד,0.271,0.481,0.424
אובדן ילדים,0.24,0.571,0.421
אובי,0.469,0.442,0.414
אובייקט,0.531,0.356,0.375
אובייקטיבי,0.531,0.406,0.685
אובייקטיביות,0.765,0.431,0.711
אוביס,0.133,0.427,0.25
אובך,0.427,0.327,0.217
אובלי,0.385,0.286,0.368
אובליסק,0.604,0.408,0.596
אובססיבי,0.2345,0.83,0.5569999999999999
אובססיה,0.229,0.847,0.571
אוברול,0.5415,0.381,0.5215000000000001
אוברטורה,0.49,0.402,0.491
אוגוסט,0.652,0.292,0.462
אוגן,0.5,0.306,0.39
אוגר,0.52,0.394,0.349
אודה,0.604,0.269,0.519
אודיטוריום,0.529,0.49,0.538
אודיסיאה,0.622,0.692,0.71
אודישן,0.75,0.685,0.615
אודישנים,0.74,0.765,0.596
אוהב,0.948,0.612,0.636
אוהב את החיים,0.8465,0.43200000000000005,0.6085
אוהב את החיים שלי,0.896,0.8,0.573
אוהב את זה,0.867,0.552,0.526
אוהד,0.8496666666666667,0.42333333333333334,0.574
אוואטר,0.633,0.41,0.567
אווז,0.4945,0.3465,0.309
אוויר,0.599,0.2345,0.4195
אוויר צח,0.688,0.377,0.509
אווירה,0.735,0.356,0.426
אווירודינמי,0.561,0.724,0.728
אווירודינמיקה,0.59,0.663,0.722
אווירון,0.714,0.642,0.644
אווירונאוטיקה,0.551,0.633,0.688
אווירי,0.615,0.461,0.463
אוונגלי,0.602,0.389,0.602
אוונגליסט,0.582,0.464,0.702
אוונגליסטי,0.66,0.375,0.612
אוונגליסטית,0.66,0.375,0.612
אוורור,0.55,0.5,0.433
אוורירי,0.52,0.419,0.518
אוורר,0.698,0.3795,0.2965
אוזון,0.56,0.345,0.518
אוזן,0.469,0.216,0.231
אוזן ים,0.5,0.48,0.412
אוזניות,0.601,0.34850000000000003,0.319
אוטו,0.571,0.569,0.5
אוטובוס,0.407,0.411,0.4
אוטוביוגרפי,0.909,0.462,0.582
אוטוביוגרפיה,0.735,0.284,0.629
אוטומטי,0.5700000000000001,0.4175,0.648
אוטונומיה,0.781,0.349,0.891
אוטוקרטי,0.542,0.577,0.727
אוטוקרטית,0.542,0.577,0.727
אוטיזם,0.235,0.5,0.447
אוטיסטי,0.367,0.337,0.404
אוטם,0.08,0.846,0.386
אוי אלוהים,0.5,0.557,0.439
אוי חרא,0.23,0.594,0.343
אוי יקירי,0.458,0.519,0.442
אוי לא,0.42700000000000005,0.497,0.41100000000000003
אוי שיט,0.23,0.594,0.343
אויב,0.157,0.7716666666666666,0.472
אויב מושבע,0.271,0.688,0.647
אוינק,0.5,0.45,0.289
אוירודינמיקה,0.59,0.663,0.722
אוירונאוטיקה,0.551,0.633,0.688
אוכל,0.7440000000000001,0.47,0.5813333333333334
אוכל בשר,0.224,0.613,0.651
אוכלוסיה,0.615,0.423,0.667
אוכלוסין,0.615,0.423,0.667
אוכמנית,0.656,0.185,0.365
אוכף,0.398,0.612,0.639
אוליגרכיה,0.327,0.567,0.741
אולם,0.5195000000000001,0.41500000000000004,0.481
אולם אירועים,0.847,0.635,0.448
אולם בית המשפט,0.385,0.67,0.887
אומגה,0.529,0.337,0.526
אומדן,0.61575,0.50675,0.529
אומה,0.594,0.443,0.821
אומלל,0.21633333333333335,0.49133333333333334,0.19933333333333333
אומללות,0.10949999999999999,0.4295,0.21550000000000002
אומן,0.7813333333333333,0.38400000000000006,0.5196666666666666
אומן שכיר,0.622,0.495,0.578
אומנות,0.823,0.373,0.571
אומנת,0.426,0.5,0.632
אומץ,0.71275,0.653,0.66625
אומץ לב,0.823,0.608,0.897
אונה,0.459,0.364,0.352
אונטולוגיה,0.51,0.45,0.518
אונייה,0.469,0.396,0.4
אוניית משא,0.406,0.445,0.58
אוננות,0.542,0.961,0.509
אונקולוג,0.26,0.654,0.64
אונקולוגיה,0.204,0.424,0.5
אונקיה,0.531,0.255,0.288
אוסף,0.65575,0.42000000000000004,0.58875
אוסף זכרונות,0.541,0.3,0.314
אוסף מייגע,0.51,0.365,0.482
אוסף שירים,0.75,0.202,0.262
אופאל,0.623,0.479,0.379
אופוס,0.458,0.368,0.391
אופוסום,0.408,0.471,0.306
אופורטוניזם,0.571,0.752,0.673
אופורי,0.745,0.904,0.588
אופוריה,0.769,0.955,0.648
אופטומטריסט,0.446,0.455,0.668
אופטי,0.67,0.34750000000000003,0.5680000000000001
אופטימי,0.979,0.58,0.821
אופטימיות,0.949,0.565,0.814
אופטימיסט,0.875,0.539,0.787
אופטיקה,0.562,0.286,0.58
אופיאט,0.281,0.594,0.598
אופיום,0.276,0.49,0.333
אופייני,0.622,0.363,0.64
אופן דיבור,0.51,0.35,0.462
אופנה,0.827,0.616,0.589
אופנוע,0.6145,0.6859999999999999,0.6645
אופניים,0.6836666666666668,0.47300000000000003,0.4303333333333333
אופנתי,0.75,0.51,0.605
אופס,0.375,0.38,0.395
אופציה,0.512,0.427,0.359
אופציונאלי,0.755,0.35,0.44
אופציות,0.622,0.327,0.473
אופק,0.729,0.284,0.59
אופק הים,0.49,0.412,0.447
אופקי,0.573,0.304,0.387
אופקית,0.5,0.356,0.439
אופראי,0.375,0.452,0.627
אופרה,0.714,0.5,0.483
אוצר,0.688,0.389,0.688
אוצר המילים,0.5,0.222,0.575
אוקטבה,0.438,0.38,0.482
אוקטגון,0.602,0.349,0.462
אוקיאני,0.74,0.317,0.632
אוקייאני,0.6305000000000001,0.4355,0.5615
אוקיינוס,0.823,0.308,0.642
אוקסימורון,0.427,0.481,0.398
אוקרינה,0.541,0.392,0.366
אור,0.771,0.32,0.519
אור אש,0.677,0.504,0.639
אור הירח,0.865,0.264,0.409
אור הלבנה,0.865,0.264,0.409
אור יום,0.865,0.42,0.545
אור נרות,0.789,0.294,0.417
אוראלי,0.53,0.448,0.375
אורב,0.32,0.7605,0.615
אורגזמה,0.844,0.863,0.676
אורגיה,0.367,0.9575,0.48450000000000004
אורגיות,0.388,0.953,0.433
אורגנו,0.596,0.327,0.25
אורגני,0.719,0.343,0.535
אורגניזם,0.457,0.559,0.8
אורות,0.75,0.48,0.575
אורות הבמה,0.667,0.639,0.694
אורז,0.5436666666666666,0.379,0.3983333333333334
אורח,0.6386666666666666,0.5086666666666667,0.501
אורח בית,0.53,0.5,0.481
אוריגמי,0.684,0.276,0.294
אוריינות,0.73,0.306,0.638
אוריינט,0.667,0.422,0.667
אוריינטלי,0.592,0.409,0.598
אורך,0.552,0.27149999999999996,0.4485
אורכי,0.542,0.398,0.582
אורכידיאה,0.84,0.345,0.382
אורן,0.583,0.225,0.312
אורנג-אוטן,0.43,0.56,0.471
אורנגאוטן,0.43,0.56,0.471
אורק,0.24,0.51,0.388
אורקל,0.552,0.531,0.67
אורתודוקסי,0.388,0.471,0.647
אורתודוקסיה,0.271,0.388,0.612
אורתודנט,0.469,0.615,0.564
אורתופדי,0.406,0.346,0.473
אושפז,0.72,0.49,0.767
אושר,0.8696666666666667,0.527,0.7766666666666667
אות,0.485,0.532,0.56
אות גדולה,0.52,0.5,0.798
אות כבוד,0.7829999999999999,0.5720000000000001,0.6505000000000001
אות מצוקה,0.344,0.643,0.423
אותיות,0.6020000000000001,0.2535,0.39749999999999996
אותנטי,0.885,0.51,0.782
אותנטיות,0.67,0.548,0.845
אותת,0.592,0.378,0.536
אזבסט,0.357,0.481,0.464
אזהרה,0.344,0.629,0.484
אזוב,0.235,0.27,0.245
אזובי,0.375,0.329,0.286
אזוטרי,0.5,0.676,0.545
אזור,0.49,0.306,0.464
אזור של מים רדודים,0.521,0.34,0.382
אזימוט,0.385,0.461,0.421
אזיק,0.31,0.59,0.593
אזכור,0.562,0.365,0.562
אזמל,0.469,0.404,0.452
אזעקה,0.241,0.882,0.698
אזרח,0.607,0.309,0.5696666666666667
אזרחות,0.743,0.3415,0.7215
אזרחי,0.6246666666666667,0.25,0.5626666666666666
אזרחים,0.49,0.448,0.525
אח,0.5756666666666667,0.4051666666666667,0.43683333333333335
אחד,0.542,0.292,0.37
אחד ליד השני,0.635,0.38,0.519
אחד שישב בפנים,0.24,0.567,0.473
אחדות,0.745,0.272,0.72
אחו,0.603,0.27099999999999996,0.5013333333333333
אחווה,0.9410000000000001,0.5035000000000001,0.7195
אחוותי,0.844,0.336,0.536
אחוז,0.4695,0.375,0.4545
אחוזה,0.6894,0.42379999999999995,0.6392
אחוזון,0.479,0.41,0.39
אחוזות,0.735,0.529,0.777
אחוק,0.769,0.278,0.5
אחורה,0.385,0.407,0.288
אחורי,0.49099999999999994,0.48200000000000004,0.45733333333333337
אחורי הקלעים,0.406,0.5,0.387
אחורנית,0.3435,0.38949999999999996,0.309
אחות,0.635,0.578,0.521
אחח,0.292,0.536,0.397
אחחח,0.281,0.635,0.243
אחחחח,0.25,0.618,0.324
אחי,0.8166666666666668,0.37399999999999994,0.656
אחיזה,0.64,0.4475,0.533
אחיין,0.719,0.337,0.412
אחיינית,0.771,0.32,0.4
אחים,0.917,0.38,0.641
אחלמה,0.622,0.406,0.517
אחר,0.472,0.23,0.259
אחראי,0.6825,0.40049999999999997,0.7989999999999999
אחראי על בר,0.48,0.5,0.454
אחרי הצהריים,0.533,0.388,0.339
אחריות,0.7186666666666667,0.5246666666666667,0.8226666666666667
אחת עשרה,0.449,0.25,0.43
אטב,0.577,0.377,0.491
אטול,0.48,0.408,0.472
אטום,0.429,0.4366,0.5058
אטומי,0.327,0.817,0.713
אטיולוגיה,0.49,0.3915,0.627
אטימה,0.306,0.439,0.442
אטימולוגיה,0.5665,0.33899999999999997,0.47350000000000003
אטימות,0.471,0.251,0.256
אטלס,0.531,0.306,0.554
אטם,0.541,0.367,0.585
אטמוספירה,0.604,0.3,0.56
אטמוספרי,0.531,0.42,0.594
אטריום,0.469,0.365,0.473
אטרקטיבי,0.906,0.63,0.769
אטרקטיביות,0.938,0.667,0.755
אי,0.706,0.3685,0.4375
אי אפשרות,0.17,0.625,0.306
אי בהירות,0.208,0.392,0.38
אי הבנה,0.112,0.618,0.284
אי הסתמה,0.173,0.5,0.393
אי התאמה,0.263,0.5145,0.3065
אי חוקיות,0.094,0.635,0.427
אי נאמנות,0.062,0.777,0.392
אי נוחות,0.1065,0.6335,0.22599999999999998
אי נראות,0.438,0.461,0.382
אי סדירות,0.104,0.647,0.306
אי סדר,0.07949999999999999,0.883,0.323
אי ספיקה,0.115,0.431,0.21
אי פוריות,0.17,0.664,0.328
אי פעולה,0.323,0.225,0.325
אי צדק,0.082,0.755,0.444
אי ציות,0.0815,0.733,0.314
אי רציונליות,0.198,0.735,0.361
אי רציפות,0.303,0.439,0.25
אי שביעות רצון,0.1775,0.5445,0.2565
אי שיוויון,0.122,0.575,0.259
אי שלמות,0.271,0.451,0.234
אי שפיות,0.098,0.847,0.337
אי תשלום,0.229,0.51,0.298
אי-אמון,0.124,0.5395,0.3245
אי-התאמה,0.26,0.643,0.417
אי-התמצאות,0.163,0.472,0.212
אי-נאמנות,0.187,0.716,0.267
אי-נוחות,0.153,0.719,0.272
אי-סדר,0.198,0.657,0.223
אי-שימוש,0.229,0.229,0.202
איבד,0.076,0.686,0.223
איבה,0.328,0.76,0.4285
איבופרופן,0.448,0.427,0.504
איבן,0.199,0.598,0.3395
איבק,0.344,0.246,0.241
איבר,0.51,0.469,0.538
איברי המין,0.323,0.667,0.5
איברי פנים,0.302,0.47,0.302
איגד,0.3335,0.5265,0.48550000000000004
איגואנה,0.521,0.235,0.291
איגוף,0.49,0.622,0.519
איגיון,0.214,0.531,0.155
איגלו,0.569,0.302,0.345
איגף,0.4115,0.5265,0.4435
איגרת,0.604,0.417,0.535
איד,0.449,0.344,0.391
אידה,0.357,0.469,0.402
אידוי,0.556,0.346,0.388
אידיאולוגיה,0.573,0.344,0.692
אידיאלי,0.802,0.437,0.736
אידיאליזם,0.635,0.436,0.689
אידיאליסט,0.816,0.51,0.802
אידיאליסטי,0.812,0.469,0.755
אידיוט,0.157,0.5834999999999999,0.248
אידיוטי,0.11299999999999999,0.56,0.197
אידיוטים,0.16549999999999998,0.5725,0.2475
אידיומטי,0.531,0.429,0.516
אידילי,0.571,0.394,0.593
איוד,0.327,0.627,0.604
איוורור,0.55,0.5,0.433
איום,0.09075,0.8205,0.5
איומי אקדח,0.188,0.817,0.719
איון,0.612,0.314,0.367
איור,0.74,0.441,0.64
איור שער,0.438,0.453,0.491
איזה עצבים!,0.302,0.516,0.409
איזוטופ,0.429,0.404,0.407
איזומורפיזם,0.448,0.361,0.481
איזון,0.704,0.29100000000000004,0.6639999999999999
איזור,0.49,0.306,0.464
איזותרמי,0.459,0.491,0.5
איזן,0.806,0.255,0.745
איחד,0.79,0.403,0.827
איחה,0.542,0.436,0.602
איחוי,0.5,0.633,0.657
איחול,0.9390000000000001,0.753,0.746
איחולים,0.96,0.755,0.719
איחולים!,0.96,0.755,0.719
איחור,0.214,0.388,0.343
איטי,0.323,0.18,0.319
איטרטיבי,0.429,0.42,0.5
איטריה,0.633,0.216,0.225
איטרציה,0.531,0.449,0.486
איידס,0.561,0.48,0.5
אייל,0.5853333333333334,0.4046666666666667,0.36566666666666664
אייל בר,0.48,0.547,0.58
אייל הצפון,0.562,0.452,0.342
