English Word,Hebrew Word,Arousal_value
napkin,מפית,0.142
lavender,לבנדר,0.198
median,חציון,0.216
date,תאריך,0.231
laziness,עצלנות,0.24
eleven,אחת עשרה,0.25
withal,עם זאת,0.264
item,פריט,0.27
floss,חוט דנטלי,0.28
nonviolent,לא אלים,0.287
postscript,"נ""ב",0.3
readership,קהל הקוראים,0.306
insurance,ביטוח,0.308
distance,מרחק,0.317
truffle,כמהה,0.323
gardening,גינון,0.333
squishy,מעיך,0.333
posh,מגונדר,0.337
staircase,מדרגות,0.347
nostalgic,נוסטלגי,0.351
moderator,מנחה,0.354
periphery,פריפריה,0.36
person,אדם,0.363
introductory,מבואי,0.368
kappa,קאפה,0.375
brisket,בשר חזה,0.378
dreamt,חלמתי,0.38
myopia,קוצר ראיה,0.387
blog,בלוג,0.39
impartiality,חוסר משוא פנים,0.394
franchise,זיכיון,0.4
rationing,קיצוב,0.404
widower,אלמן,0.406
bladder,שלפוחית השתן,0.412
strudel,שטרודל,0.417
meteorology,מטאורולוגיה,0.418
uncut,לא מלוטש,0.422
deacon,כומר זוטר,0.43
warrants,צווים,0.431
mend,לתקן,0.436
illustration,איור,0.441
shutit,סתום,0.442
centurion,קנטוריון,0.447
technological,טכנולוגי,0.452
scarab,חיפושית פרעה,0.458
meal,ארוחה,0.461
topside,הצד העליון,0.466
varying,משתנים,0.471
ocd,OCD,0.472
cosmos,קוסמוס,0.478
smog,ערפיח,0.48
intelligibility,מובנות,0.481
aardvark,שנבוב,0.49
stewardess,דיילת,0.491
snowday,יום שלג,0.5
leverage,מינוף,0.5
nonpayment,אי תשלום,0.51
scenario,תרחיש,0.51
ramp,רמפה,0.517
automotive,ממונע,0.52
untrained,לא מאומן,0.529
metabolic,מטבולי,0.531
sponsor,לתת חסות,0.537
december,דצמבר,0.54
culminate,להגיע לפסגה,0.55
misinterpretation,פירוש שגוי,0.556
communicative,תקשורתי,0.56
scrounge,לשנורר,0.565
intimately,באופן אינטימי,0.573
disinformation,מידע כוזב,0.577
standup,תעמוד,0.583
filth,זוהמה,0.592
arsehole,חור תחת,0.598
frown,הזעפת פנים,0.602
refusal,סירוב,0.61
diverging,מתפצלים,0.613
reckoning,חשבון נפש,0.622
call,שיחת טלפון,0.627
deceiving,מטעה,0.636
promotional,קידום מכירות,0.646
drinks,משקאות,0.656
gimmick,גימיק,0.663
roadblock,מחסום דרכים,0.669
esoteric,אזוטרי,0.676
gym,חדר כושר,0.69
skyscraper,גורד שחקים,0.696
pointedly,בצורה חדה,0.706
implosion,קריסה,0.724
spanking,הצלפה,0.736
affronted,נעלבת,0.75
caffeine,קפאין,0.759
marketing,שיווק,0.774
hypertension,יתר לחץ דם,0.784
critical,קריטי,0.802
stillbirth,לידת מת,0.809
cannibal,קניבל,0.824
celebrating,חוגג,0.86
abused,התעללו,0.874
accident,תאונה,0.908
explosive,חומר נפץ,0.943
