English Word,Hebrew Word,Dominance_value
meaningless,חסר משמעות,0.143
weave,לארוג,0.172
fiasco,פיאסקו,0.2
vase,אגרטל,0.215
sardine,סרדין,0.236
lack,חוסר,0.242
plaster,טיח,0.255
candles,נרות,0.268
nightie,כותנת לילה,0.274
unnamed,ללא שם,0.284
pedicure,פדיקור,0.296
fax,פקס,0.304
enamel,אמייל,0.306
wafer,רקיק,0.313
drinking,שתייה,0.317
flannel,פלנל,0.327
rainbow trout,טרוטת עין-הקשת,0.33
dissonance,דיסוננס,0.336
imitation,חיקוי,0.343
concerned,מודאג,0.35
sitting,ישיבה,0.353
mantra,מנטרה,0.357
nosebleed,דימום מהאף,0.361
recess,פגרה,0.367
cheep,לצייץ,0.373
kebab,קבב,0.377
hypnotized,מהופנט,0.38
gluten,גלוטן,0.388
backhand,חבטת גב היד,0.39
dissociative,דיסוציאטיבי,0.397
treacherous,בוגדנות,0.402
variation,וריאציה,0.406
soluble,מסיס,0.409
auburn,ערמוני,0.411
solicitation,שידול,0.415
margarita,מרגריטה,0.42
prosthetic,תותבת,0.426
bookish,למדני,0.43
stepdaughter,בת חורגת,0.432
sternum,סטרנום,0.436
morbidity,תחלואה,0.443
convex,קמור,0.445
blackjack,בלאק ג'ק,0.452
infusion,אינפוזיה,0.453
padlock,מנעול,0.457
bipartite,דו-צדדי,0.464
nintendo,נינטנדו,0.464
potassium,אשלגן,0.472
encumbrance,מעמסה,0.48
semester,סמסטר,0.482
hip hop,היפ הופ,0.484
slang,סלנג,0.491
isothermal,איזותרמי,0.5
suffice,להספיק,0.504
accent,מבטא,0.509
forgiven,נסלח,0.51
campus,קמפוס,0.519
stony,סלעי,0.525
flatness,שטיחות,0.527
dreams,חלומות,0.53
karma,קארמה,0.537
prismatic,מנסרתי,0.54
utilize,להפיק תועלת,0.545
mining,כריה,0.554
pirate,פיראט,0.559
dividend,דיבידנד,0.566
body,גוף,0.571
typography,טיפוגרפיה,0.574
heartbeat,דופק לב,0.585
configuration,תצורה,0.591
integer,מספר שלם,0.595
pool,בריכה,0.598
physical,פיזי,0.607
rattlesnake,עכסן,0.613
anarchy,אנרכיה,0.62
cherishing,מוקירה,0.625
publicspeaking,דיבור בפני קהל,0.632
scoop,סקופ,0.64
inexhaustible,בלתי נדלה,0.643
singularity,ייחוד,0.654
antigravity,נוגד כבידה,0.658
surreal,סוריאליסטי,0.67
goodfeeling,הרגשה טובה,0.679
accelerated,מואץ,0.682
priestess,כוהנת,0.691
podium,פודיום,0.702
flattered,מוחמא,0.708
technician,טכנאי,0.713
outgrow,להגמל,0.722
lordship,כבודו,0.736
methodology,מתודולוגיה,0.745
graded,מדורג,0.759
federation,פדרציה,0.763
undeniable,שלא מוטל בספק,0.778
banker,בנקאי,0.792
resolutely,בנחישות,0.805
life,חיים,0.824
admiral,אדמירל,0.847
gladiator,גלדיאטור,0.866
victory,ניצחון,0.931
